,city,comments,country,date posted,datetime,duration (hours/min),duration (seconds),latitude,longitude,shape,state
11488,silver lake,Saw a small white light that increased dramatically in size&#44 reduced to a small light&#44 turned red and zip......it was gone.,us,8/5/2012,11/20/1967 21:00,1minute,60,43.1280556,-121.045,unknown,or
11489,kent,At daybreak&#44 object (with recessed light in nose&#44 and soundless) passed by us in the low clouds. It was barely getting light enough to,us,11/9/1999,11/20/1968 07:30,30 seconds,30,47.3811111,-122.2336111,triangle,wa
11490,lebanon,11/20/1972  2100&#44  Tenn Lebanon  oval    30 minutes  usa space craft over friends  house  01/25/09,us,3/19/2009,11/20/1972 21:00,1 hour,3600,36.2080556,-86.2911111,oval,tn
11491,miami,At 01:00 hrs looking out my room window I saw about 14 lights moving in the sky&#44 they  began to pair off and move in diffrent direction,us,7/5/1999,11/20/1975 01:00,3 hours,10800,25.7738889,-80.1938889,oval,fl
11492,hudson,I was alone&#44 travelling north east on a local side road (Harry Howard Ave.) coming out of Hudson and on my way home from one of our bus,us,9/15/2005,11/20/1975 17:00,30 sec?,30,42.2527778,-73.79138890000002,unknown,ny
11493,yonkers,A fast object in the night sky,us,4/9/2004,11/20/1975 20:00,15 minutes,900,40.9311111,-73.8991667,light,ny
11494,aurora,i could see it but my friend standing next to me could not it was plain as day right there.,us,7/25/2004,11/20/1977 19:00,15 min,900,39.7294444,-104.83138890000001,circle,co
11495,detroit,Obserbed bright disc in upper right quadrant of windshield as I was backing out of my drive&#44 car was facing sough. As I drove eastward,us,3/9/2004,11/20/1979 07:10,30 minutes,1800,42.3313889,-83.0458333,light,mi
11719,north branch (south of),That thing was not built around here,us,8/5/2009,11/21/1978 23:45,5 minutes,300,45.5113889,-92.98,rectangle,mn
11876,westbury,Father Mother and son in car stopped in middle of street to see a saucer with lights around the rim hovering above their house.,us,10/31/2003,11/2/1960 18:00,1 minute,60,40.7555556,-73.5880556,disk,ny
11877,b-52; inflight,B-52 crew sees very bright point of light just prior to 1965 blackout.,,7/11/2000,11/2/1965 00:30,15 to 20 minutes,1200,43.193852,-71.572395,light,nh
11878,leavenworth,red triangular ufo observed on clear day,us,10/10/2011,1/12/1966 24:00,5 minutes,300,47.5963889,-120.66027779999999,triangle,wa
11879,tiburon,Teardrop outlined in white light&#44 three circular white lights in dark interior&#44 silent.,us,8/5/2001,11/2/1967 22:00,20 seconds,20,37.8736111,-122.45555559999998,teardrop,ca
11880,american falls,Large glowing green in color looking up at the bottom it was round,us,6/6/2000,1/12/1968 22:00,20seconds,20,42.7861111,-112.85361110000001,disk,id
11881,farmington (se of&#44 deserted area&#44 hwy 44),A large bright light apeared seemingly from nowhere.It followed my 18 wheeler for 1-2 min. then disapeared as quickly. It wasn&#39t a pr.,us,11/20/2002,1/12/1973 03:00,aprox:2-3 min,180,36.7280556,-108.21805559999999,light,nm
11882,new orleans,Hugh blinking red light over New Orleans East.,us,5/2/2014,11/2/1974 00:00,10 seconds,10,29.9544444,-90.075,other,la
11883,grand rapids,I submitted this report back in 2005.  I have been reviewing my report from that time. There are a couple of things that are incorrect.,us,1/10/2009,1/12/1978 20:00,5 minutes,300,42.9633333,-85.6680556,disk,mi
11884,grand rapids,Saw a craft decend over some power lines and hover.  Saucer shaped with bright lights around the middle,us,11/3/2005,1/12/1978 20:00,5 minutes,300,42.9633333,-85.6680556,disk,mi
12260,memphis,Moon like UFO hovers for minutes then ascends to appear to look like bright star&#44 then dim star&#44 then gone.,us,1/12/2012,11/22/1964 22:00,15 mins,900,35.1494444,-90.04888890000001,circle,tn
12261,kenai,My brother and I saw what we thought was a car approaching on the rise of a hill.  The lights were so bright we turned our eyes away fr,us,1/11/2002,11/22/1969 17:00,5 minutes,300,60.5544444,-151.2583333,light,ak
12262,vindoen island (sweden),BIG-one kilometer wide Yellowlighted UFO-Discusform-perfect shape,,12/7/2006,11/22/1971 08:05,9minutes,540,40.417287,-82.907123,disk,oh
12263,tahlequah,Triangular shaped object stopped over horse pasture in Tahlequah&#44 Oklahoma in 1977,us,1/10/2009,11/22/1977 23:30,five minutes,300,35.9152778,-94.9697222,triangle,ok
12264,clarksburg,Asatched the light travel back and forth and uyou could see no craft. When the light went off&#44 oh my God.,us,1/5/2011,11/22/1979 23:00,2 hrs,7200,39.2805556,-80.3447222,disk,wv
12477,thunder bay (canada),This was not a UFO,ca,4/16/2005,11/23/1963 10:00,1 minute,60,48.4,-89.233333,disk,on
12478,cherokee,There was one silver metallic craft with small lights&#44 no sound&#44 no windows&#44 no red or green lights&#44 and no blinking light.,us,6/21/2000,11/23/1965 20:00,5 minutes,300,36.7544444,-98.35638890000001,other,ok
12479,kapaa,Five of f us witnessed a cigar-shaped wingless aircraft with a light shining inside of its windows hover over us..,us,6/6/2000,11/23/1973 19:00,10 minutes,600,22.0783333,-159.3219444,cigar,hi
12480,saint james,I&#44 and two other witnesses&#44 observed a red glowing sphere for approximately 10 seconds.,us,1/10/2014,11/23/1977 16:15,10 seconds,10,40.8788889,-73.1572222,sphere,ny
12672,florida (central),While driving to NY with a friend&#44observed a oval shape craft 40&#39 in diameter &#44stood 30&#39 of the ground.,,11/26/2003,11/24/1973 20:00,5 minutes,300,27.664827,-81.515754,oval,fl
12673,new hampton,white/yellowish lights shaped like a bulldozer track moving in a counterclockwise direction.,us,10/10/2011,11/24/1977 22:30,1 - 2 min,120,43.6055556,-71.65472220000001,other,nh
12858,vienna,White cigar shaped object&#44 very fast&#44 no plausible explanation,us,10/28/2002,11/25/1973 22:00,5 seconds,5,38.9011111,-77.2655556,cigar,va
12859,west milton,Two orange globes traveling slowly north to south.,,9/12/2003,11/25/1974 21:00,10 minutes,600,41.106606,-80.965002,circle,oh
12860,verbena,Big Bobbing red light,us,4/16/2005,11/25/1974 22:00,5 minutes,300,32.7497222,-86.51138890000001,sphere,al
12861,unspecified location in wv,Mercedes shaped red UFO,,11/21/2010,11/25/1975 23:00,10 min,600,38.597626,-80.454903,triangle,wv
12862,virginia (western part; rural?),White light above cloud cover speed about 3000 mph;the fiery ball desending at a rate of 50 mph.,,7/28/2010,11/25/1976 20:20,2 minutes,120,37.431573,-78.656894,fireball,va
12863,omaha,White rectangular &quot;door&quot; opens in night sky&#44 emiting orange beam of light,us,10/31/2003,11/25/1976 23:00,seemed like 1 minute&#44 but,60,41.2586111,-95.9375,rectangle,ne
12864,fredericksburg (northwest hill country)),Blue lights fill room of house in rural Texas before abruptly vanishing,us,5/13/2012,11/25/1978 22:00,1 minute,60,30.275,-98.8716667,light,tx
13023,leesville,It was an overcast day.  It was around 10am.  My passenger and I left Summit&#44 SC heading toward Leesville&#44 SC.  We saw an incredibly br,us,6/3/2011,11/26/1961 10:00,15 seconds,15,33.9163889,-81.51361109999999,flash,sc
13024,sundsanvik (sweden),Golden Light-White Syncron Light-Ruby Red Cloud-Dark Blue Star Light,,3/10/2011,11/26/1971 20:02,10min,600,60.375551,6.142884,disk,
13025,houston,Night patrolman rendered defenseless by ALIENS and ARMORED aliens. Interlect exam took place on roof top of building.,us,10/12/2001,11/26/1976 03:30,15 minutes,900,29.7630556,-95.3630556,circle,tx
13026,canandaigua,Triangular craft watching Bristol Mountain Ski Resort,us,6/10/2010,11/26/1977 14:00,1 to 2 hours,7200,42.8741667,-77.2883333,triangle,ny
13173,reno/stead,Disk shaped craft hovering above house in Stead&#44 Nevada,,12/19/2003,11/27/1975 16:30,5 min,300,39.660829,-119.87413400000001,disk,nv
13174,stead nevada (outside of reno),It was Thanksgiving 1975 or 76. When I came out of our house it was hovering over our neighbors one story house. It was daylight and I,,1/28/1999,11/27/1976 15:00,3-5min,300,39.660829,-119.87413400000001,disk,nv
13175,ukiah,1978 sphere inside cloud over Ukiah Valley&#44 Ca  beams of light radiated out from it after a few minutes,us,5/15/2013,11/27/1978 19:00,10 minutes,600,39.1502778,-123.20666670000001,sphere,ca
13176,ukiah,UFO over Ukiah&#44 sphere with beams coming out from it...then I forgot the entire sighting until I saw a report in the paper,us,1/17/2004,11/27/1978 20:00,10 minutes,600,39.1502778,-123.20666670000001,sphere,ca
13177,burnaby (canada),the truth is out there &#44 we&#39ve all seen it,ca,4/27/2007,11/27/1979 20:45,4-5 sec,5,49.25,-122.95,disk,bc
13342,arvana-lamesa,UFO over Lamesa&#44 Texas cotton gin,,10/30/2006,11/28/1978 18:00,15 min,900,32.809821,-101.914879,disk,tx
13601,mt. rainier national park,FIRST TIME REPORTED Late November&#44 1978 Mt Rainier National Park &amp; Ashford. Double Sighting&#44 6 Hours,,8/7/2007,11/29/1978 03:00,6 hours,21600,46.853704,-121.75895,unknown,wa
13746,locust fork,Smaller UFO comes from behind mountain and enters larger one.,us,12/3/2004,11/30/1968 21:30,3 minutes,180,33.9075,-86.61527779999999,light,al
13747,deer park,My mother and father in-law&#44 My wife&#44our two boys&#44(4th &amp; 5th grade) and myself observed a very bright green light through the kitchen w,us,11/20/2002,11/30/1978 08:00,5 min.,300,47.9544444,-117.47583329999999,disk,wa
13748,ft. jackson,Falshing light,,3/19/2009,11/30/1979 01:00,20 min,1200,34.055074,-80.832243,unknown,sc
